id,category,query,is_oos,confidence,must_contain_pass,must_contain_matched,must_contain_total,must_not_contain_pass,expected_docs_pass,citation_present,oos_handling_pass,latency_ms,overall_pass,error
Q-01,booking,What documents are needed for sea freight Singapore to Indonesia?,False,Low,True,3,3,True,True,True,True,1946,True,
Q-02,booking,How far in advance should I book an LCL shipment?,False,Low,True,2,2,True,True,True,True,1277,True,
Q-03,booking,What's the difference between FCL and LCL?,False,Low,True,2,2,True,True,False,True,1930,False,
Q-04,booking,When is the SI cutoff for this week's Maersk sailing?,False,Low,False,0,2,True,False,False,True,993,False,
Q-05,booking,Do I need a commercial invoice for samples with no value?,False,Medium,True,2,2,True,True,True,True,1464,True,
Q-06,booking,What's a Bill of Lading and who issues it?,False,Medium,True,2,2,True,True,True,True,1344,True,
Q-07,booking,Can we ship without a packing list?,False,Medium,True,2,2,True,True,True,True,1618,True,
Q-08,booking,What does FOB Singapore mean?,False,Low,False,1,2,True,True,True,True,1503,False,
Q-09,booking,How do I amend a booking after confirmation?,False,Low,True,2,2,True,True,True,True,1728,True,
Q-10,booking,What's the free time at destination port?,False,Low,True,0,0,True,False,False,True,942,False,
Q-11,customs,What's the GST rate for imports into Singapore?,False,Medium,True,2,2,True,True,True,True,1336,True,
Q-12,customs,How do I find the HS code for electronics?,False,Low,False,1,2,True,True,True,True,1738,False,
Q-13,customs,Is Certificate of Origin required for Thailand?,False,Low,True,2,2,True,True,True,True,1476,True,
Q-14,customs,What permits are needed to import cosmetics to Indonesia?,False,Low,True,2,2,True,True,True,True,1860,True,
Q-15,customs,What's the ATIGA preferential duty rate?,False,Low,True,2,2,True,True,True,True,1284,True,
Q-16,customs,How does the Free Trade Zone work for re-exports?,False,Low,True,2,2,True,True,True,True,1472,True,
Q-17,customs,What's the de minimis threshold for Malaysia?,False,Low,True,0,0,True,False,False,True,1113,False,
Q-18,customs,Do I need halal certification for food to Indonesia?,False,Low,True,2,2,True,True,True,True,1477,True,
Q-19,customs,How do I apply for a Customs ruling on HS code?,False,Medium,True,2,2,True,True,True,True,1698,True,
Q-20,customs,What's the difference between Form D and Form AK?,False,Medium,True,2,2,True,True,True,True,1529,True,
Q-21,carrier,Which carriers sail direct to Ho Chi Minh?,True,Low,True,0,0,True,True,False,True,1017,False,
Q-22,carrier,What's the transit time to Port Klang?,True,Low,True,0,0,True,True,False,True,1312,False,
Q-23,carrier,Does PIL offer reefer containers?,False,Low,True,2,2,True,True,False,True,1369,False,
Q-24,carrier,How do I submit VGM to Maersk?,False,Low,True,2,2,True,True,True,True,1848,True,
Q-25,carrier,Can I get an electronic Bill of Lading?,False,Low,True,0,0,True,False,False,True,1041,False,
Q-26,carrier,What's the weight limit for a 40ft container?,True,Low,True,0,0,True,True,False,True,988,False,
Q-27,carrier,Does ONE service Surabaya?,False,Low,False,0,2,True,False,False,True,1048,False,
Q-28,carrier,How do I track my shipment with Evergreen?,False,Low,True,0,0,True,False,False,True,1047,False,
Q-29,carrier,What's the difference between Maersk and ONE service?,False,Low,True,2,2,True,True,False,True,1908,False,
Q-30,carrier,Who do I contact for a booking amendment?,False,Low,True,0,0,True,False,False,True,1049,False,
Q-31,sla,What's our standard delivery SLA for Singapore?,False,Medium,True,2,2,True,True,True,True,1401,True,
Q-32,sla,Is customs clearance included in door-to-door?,False,Medium,True,2,2,True,True,True,True,1253,True,
Q-33,sla,Do you provide cargo insurance?,False,Low,True,2,2,True,True,True,True,1492,True,
Q-34,sla,What happens if shipment is delayed?,False,Low,True,0,0,True,False,False,True,957,False,
Q-35,sla,Are duties and taxes included in the quote?,False,Low,True,0,0,True,False,False,True,975,False,
Q-36,sla,What's the process for refused deliveries?,False,Low,True,0,0,True,False,False,True,950,False,
Q-37,sla,Do you handle import permit applications?,False,Low,True,2,2,True,True,True,True,1649,True,
Q-38,sla,How do I upgrade to express service?,False,Low,True,0,0,True,False,False,True,994,False,
Q-39,sla,What's covered under standard liability?,False,Low,True,2,2,True,True,True,True,1590,True,
Q-40,sla,Can I get proof of delivery?,False,Low,True,0,0,True,False,False,True,968,False,
Q-41,edge_case,What's the current freight rate to Jakarta?,True,Low,True,0,0,True,True,False,True,1320,False,
Q-42,edge_case,Where is my shipment right now?,True,Low,True,0,0,True,True,False,True,973,False,
Q-43,edge_case,Can you book a shipment for me?,True,Low,True,0,0,True,True,False,True,963,False,
Q-44,edge_case,I want to file a claim for damaged cargo,False,Low,True,2,2,True,True,True,True,1781,True,
Q-45,edge_case,Can you ship hazmat by air?,True,Low,True,0,0,True,True,False,True,1121,False,
Q-46,edge_case,What's the weather forecast for shipping?,True,Low,True,0,0,True,True,False,True,981,False,
Q-47,edge_case,Can you recommend a supplier in China?,True,Low,True,0,0,True,True,False,True,986,False,
Q-48,edge_case,What's your company's financial status?,True,Low,True,0,0,True,True,False,True,1012,False,
Q-49,edge_case,How do I become a freight forwarder?,True,Low,True,0,0,True,True,False,True,990,False,
Q-50,edge_case,What are your competitor's rates?,True,Low,True,0,0,True,True,False,True,979,False,
